"","sub.precip"
"1",7.5
"2",2
"3",4
"4",3.6
"5",7.1
"6",2.5
"7",3.2
"8",2.3
"9",18.3
"10",25.2
"11",4
"12",20.7
"13",14.2
"14",7.9
"15",3.8
"16",7
"17",15.3
"18",5.8
"19",12.5
"20",4.1
"21",20.8
"22",3.7
"23",5.1
"24",14.5
"25",13.6
"26",8.6
"27",7.4
"28",6.1
"29",2.5
"30",4.1
"31",8.2
"32",2.2
"33",6
"34",15.5
"35",12.1
"36",3.8
"37",10.2
"38",20.1
"39",2.4
"40",22.6
"41",3.9
"42",8.5
"43",23.7
"44",27
"45",10.2
"46",14.2
"47",2
"48",6.8
"49",2.3
"50",16.4
"51",18.9
"52",8.6
"53",5.7
"54",2.6
"55",4
"56",15.6
"57",6.3
"58",7.3
"59",5.5
"60",7.4
"61",3.2
"62",2.9
"63",2.8
"64",15.1
"65",7.4
"66",3
"67",21.7
"68",4.1
"69",2.4
"70",5.2
"71",5.9
"72",6.6
"73",14.9
"74",5.2
"75",4.2
"76",39.2
"77",5.1
"78",19
"79",5.2
"80",11.8
"81",10.8
"82",2.4
"83",7.4
"84",3.1
"85",9.2
"86",2.6
"87",7.7
"88",7.6
"89",2.5
"90",12.2
"91",3.4
"92",2.2
"93",2.6
"94",4.1
"95",8.8
"96",2.1
"97",4.5
"98",5.4
"99",4.5
"100",4.7
"101",3.5
"102",4.7
"103",3.1
"104",4.7
"105",4.5
"106",3.6
"107",6.4
"108",17.6
"109",5.8
"110",2.9
"111",10.5
"112",36
"113",8.1
"114",6.2
"115",6.5
"116",6.8
"117",4.7
"118",2.4
"119",4.7
"120",13.1
"121",9.7
"122",3.5
"123",9.1
"124",3.4
"125",8.4
"126",2.8
"127",13
"128",2.2
"129",4
"130",10.4
"131",5.3
"132",27.5
"133",5.4
"134",20.4
"135",4.9
"136",10.6
"137",7.8
"138",8.4
"139",7.5
"140",3.4
"141",4.3
"142",21.6
"143",21.9
"144",9.7
"145",16.5
"146",9.4
"147",6.6
"148",6.1
"149",4.2
"150",12.1
"151",5.1
"152",2.6
"153",9.6
"154",7.2
"155",7.5
"156",7.4
"157",2.3
"158",10.7
"159",4.6
"160",6
"161",42.3
"162",10.1
"163",23.9
"164",4
"165",2.2
"166",20.7
"167",3.1
"168",2
"169",9.9
"170",24.4
"171",16.1
"172",4.5
"173",11.2
"174",2
"175",4.3
"176",6.9
"177",22.1
"178",14.1
"179",11.4
"180",21.5
"181",5.4
"182",9.3
"183",12
"184",17.9
"185",5.9
"186",41.4
"187",6.3
"188",3
"189",4.9
"190",2.8
"191",20.5
"192",3.4
"193",13.8
"194",2.7
"195",9.3
"196",3.9
"197",13.1
"198",15
"199",5.4
"200",4.4
"201",43.6
"202",3.2
"203",2.3
"204",6.6
"205",19.8
"206",13.7
"207",2
"208",10.4
"209",8.8
"210",14.6
"211",16.2
"212",6.7
"213",31.8
"214",8.1
"215",2.6
"216",5.7
"217",11.6
"218",5.4
"219",7.2
"220",6.8
"221",6.5
"222",9.4
"223",11.9
"224",16.1
"225",3.5
"226",10.7
"227",11.3
"228",3
"229",3.3
"230",2
"231",13.4
"232",2.5
"233",16.6
"234",18.8
"235",22.8
"236",2.2
"237",16.2
"238",5.4
"239",3.2
"240",11.3
"241",2.2
"242",2
"243",2.7
"244",15
"245",2
"246",9.5
"247",2.7
"248",2.1
"249",16.1
"250",6.3
"251",2
"252",8
"253",3.5
"254",2.6
"255",7.8
"256",11.7
"257",4.1
"258",4.9
"259",19.6
"260",9.9
"261",2.1
"262",6.4
"263",30.4
"264",14.5
"265",35.2
"266",15.7
"267",14
"268",5.5
"269",9.4
"270",8.7
"271",3.8
"272",24.4
"273",12.4
"274",2.5
"275",4.4
"276",3
"277",11
"278",5.6
"279",2.2
"280",8.8
"281",16.6
"282",19.8
"283",2
"284",10.6
"285",10.5
"286",12.3
"287",36
"288",26.2
"289",6.3
"290",7.5
"291",20
"292",2.1
"293",8.2
"294",5.6
"295",4.4
"296",2
"297",3.4
"298",6.6
"299",3.1
"300",3.2
"301",7
"302",11.6
"303",5.7
"304",5
"305",7.3
"306",3
"307",19
"308",13
"309",4.8
"310",6.5
"311",11.1
"312",4.5
"313",3.7
"314",2.9
"315",6.7
"316",9.4
"317",3
"318",2.9
"319",3.5
"320",4.3
"321",27
"322",20
"323",3.5
"324",5.8
"325",17.7
"326",3.7
"327",11.5
"328",11.1
"329",25.5
"330",8.7
"331",24.1
"332",2.5
"333",8.2
"334",5.5
"335",4.5
"336",3.6
"337",43.1
"338",20.1
"339",3.1
"340",22.4
"341",8.3
"342",6.5
"343",2
"344",2.9
"345",13.7
"346",4.4
"347",11.6
"348",9.6
"349",13.5
"350",2
"351",9.5
"352",17.8
"353",5.9
"354",19.3
"355",5
"356",5.8
"357",13.4
"358",45.8
"359",2.2
"360",2.2
"361",11.7
"362",2.2
"363",7.9
"364",5.4
"365",3.5
"366",5.9
"367",5.7
"368",5.9
"369",23.6
"370",8.8
"371",2.2
"372",2.5
"373",14.5
"374",3.1
"375",2
"376",3
"377",3.9
"378",3.3
"379",8.4
"380",7.9
"381",6.7
"382",2.4
"383",6.7
"384",35.2
"385",4.4
"386",3.8
"387",16.3
"388",5
"389",12.3
"390",7
"391",4.9
"392",16
"393",30.4
"394",12.9
"395",34.4
"396",5.8
"397",8.8
"398",2.1
"399",12.4
"400",4
"401",4.4
"402",2
"403",19.3
"404",4.3
"405",3.5
"406",5.1
"407",13.4
"408",3.3
"409",2.9
"410",2.5
"411",2
"412",8
"413",10.7
"414",2.4
"415",3.5
"416",4.4
"417",3.8
"418",13.9
"419",9.3
"420",11.4
"421",4.2
"422",9.4
"423",16.6
"424",12.6
"425",15.3
"426",4.2
"427",9.2
"428",8.9
"429",4.9
"430",7.2
"431",4.5
"432",18.8
"433",3.4
"434",2.9
"435",3.3
"436",3.4
"437",7.5
"438",2
"439",4.3
"440",17.1
"441",3.6
"442",8.8
"443",3.3
"444",15.8
"445",6.6
"446",2.2
